[x]	[y]	[x]	[y]
5681348.09	7428797.99	5681569.30	7428757.78
5681569.30	7428757.78	5681553.58	7428736.97
5681569.30	7428757.78	5681615.58	7428749.62
5681522.13	7428695.78	5681729.56	7428609.87
5681727.90	7428604.86	5681729.56	7428609.87
5681727.90	7428604.86	5681732.09	7428617.52
5681727.90	7428604.86	5681727.36	7428598.19
5681522.13	7428695.78	5681523.43	7428697.51
5681522.13	7428695.78	5681512.20	7428682.65
5681385.29	7429050.17	5681863.26	7428964.59
5681863.26	7428964.59	5681867.94	7428990.57
5681863.26	7428964.59	5681920.58	7428954.33
5681920.58	7428954.33	5681955.74	7428998.87
5681418.03	7429279.57	5682035.99	7429169.62
5682035.99	7429169.62	5682034.93	7429162.79
5682034.93	7429162.79	5682072.08	7429156.27
5682072.08	7429156.27	5682076.78	7429162.36
5682076.78	7429162.36	5682085.74	7429173.98
5682085.74	7429173.98	5682093.42	7429183.95
5682093.42	7429183.95	5682128.05	7429229.25
5682093.42	7429183.95	5682041.40	7429193.41
5682041.40	7429193.41	5682038.86	7429182.39
5682038.86	7429182.39	5682085.74	7429173.98
5682076.78	7429162.36	5682035.99	7429169.62
5682035.99	7429169.62	5682038.86	7429182.39
5682038.86	7429182.39	5681419.98	7429293.43
5681439.38	7429430.83	5681440.71	7429440.24
5681440.71	7429440.24	5682175.83	7429307.68
5682175.83	7429307.68	5682184.23	7429324.50
5682184.23	7429324.50	5682190.13	7429336.69
5682175.83	7429307.68	5682171.60	7429299.23
5682171.60	7429299.23	5682160.46	7429276.94
5682160.46	7429276.94	5682152.81	7429261.65
5682160.46	7429276.94	5682041.46	7429298.77
5682041.46	7429298.77	5682045.87	7429321.83
5682045.87	7429321.83	5682171.60	7429299.23
5682045.87	7429321.83	5681439.38	7429430.83
5681443.38	7429459.16	5681442.26	7429451.21
5681443.38	7429459.16	5681445.17	7429472.37
5681443.38	7429459.16	5682184.23	7429324.50
5682191.48	7429339.49	5682196.78	7429350.52
5682196.78	7429350.52	5682207.64	7429373.30
5682207.64	7429373.30	5682215.60	7429390.11
5682207.64	7429373.30	5682154.01	7429383.04
5682154.01	7429383.04	5682114.25	7429390.23
5682114.25	7429390.23	5682077.54	7429396.86
5682114.25	7429390.23	5682108.07	7429365.63
5682108.07	7429365.63	5682072.47	7429372.11
5682154.01	7429383.04	5682152.51	7429367.15
5682152.51	7429367.15	5682196.78	7429350.52
5681445.46	7429474.43	5681447.15	7429485.89
5681447.15	7429485.89	5681448.67	7429496.65
5681448.67	7429496.65	5681450.52	7429509.76
5681450.52	7429509.76	5681453.02	7429527.09
5681447.15	7429485.89	5682072.47	7429372.11
5681450.52	7429509.76	5682077.54	7429396.86
5681468.77	7429633.22	5681469.13	7429636.16
5681469.13	7429636.16	5681471.98	7429655.87
5681469.13	7429636.16	5682119.90	7429518.77
5682295.36	7429551.32	5682300.62	7429562.10
5682300.62	7429562.10	5682302.39	7429565.72
5682302.39	7429565.72	5682313.06	7429587.64
5682313.06	7429587.64	5682324.77	7429611.68
5682313.06	7429587.64	5682234.34	7429601.92
5682234.34	7429601.92	5682224.24	7429580.26
5682224.24	7429580.26	5682302.39	7429565.72
5682300.62	7429562.10	5682094.13	7429599.88
5682094.13	7429599.88	5681480.26	7429710.64
5681484.28	7429737.54	5682104.44	7429625.47
5682104.44	7429625.47	5682095.62	7429603.59
5682095.62	7429603.59	5682224.24	7429580.26
5682104.44	7429625.47	5682234.34	7429601.92
5681521.67	7429991.76	5681522.91	7430000.73
5681522.91	7430000.73	5681525.20	7430017.40
5681525.20	7430017.40	5681525.62	7430020.37
5681525.20	7430017.40	5682188.82	7429897.15
5682188.82	7429897.15	5682187.17	7429880.42
5682187.17	7429880.42	5682186.26	7429871.25
5682187.17	7429880.42	5681522.91	7430000.73
5682187.17	7429880.42	5682370.52	7429846.82
5682370.52	7429846.82	5682367.90	7429838.32
5682370.52	7429846.82	5682434.87	7429835.88
5682434.87	7429835.88	5682430.43	7429826.99
5682434.87	7429835.88	5682441.61	7429849.70
5682542.01	7429937.21	5682545.97	7429936.50
5682545.97	7429936.50	5682549.39	7429935.88
5682542.89	7429835.97	5682548.69	7429834.91
5682548.69	7429834.91	5682554.05	7429833.94
5682883.03	7429876.06	5682884.36	7429875.84
5682884.36	7429875.84	5682929.88	7429765.58
5682929.88	7429765.58	5682915.45	7429768.20
5682884.36	7429875.84	5682899.52	7429874.60
5682899.52	7429874.60	5682910.45	7429873.71
5682899.52	7429874.60	5682947.05	7429762.46
5682947.05	7429762.46	5682929.88	7429765.58
5682947.05	7429762.46	5682948.42	7429762.21
5682948.42	7429762.21	5682952.00	7429756.94
5682952.00	7429756.94	5682951.96	7429755.70
5682951.96	7429755.70	5682953.51	7429755.84
5682953.51	7429755.84	5683017.12	7429761.65
5683071.39	7429766.61	5683120.18	7429771.07
5683120.18	7429771.07	5683219.07	7429780.11
5683219.07	7429780.11	5683325.33	7429789.82
5683325.33	7429789.82	5683327.42	7429776.69
5683325.33	7429789.82	5683418.93	7429798.38
5683418.93	7429798.38	5683444.13	7429800.68
5683444.13	7429800.68	5683508.16	7429806.53
5683508.16	7429806.53	5683601.17	7429815.03
5683601.17	7429815.03	5683646.60	7429819.18
5683646.60	7429819.18	5683637.71	7429837.17
5683653.01	7429808.30	5683665.02	7429794.05
5683665.02	7429794.05	5683669.72	7429786.92
5683669.72	7429786.92	5683675.85	7429777.63
5683669.72	7429786.92	5683629.91	7429783.32
5683629.91	7429783.32	5683629.25	7429790.78
