[number]	[x]	[y]
1-10019	5681195.68	7427626.26
O-2756	5681195.76	7427622.82
O-2730	5681061.22	7427600.17
1-862	5681194.72	7427820.53
1-969	5681511.27	7427791.03
1-861	5681195.28	7427783.43
1-864	5681182.42	7427844.77
1-968	5681509.83	7427801.72
1-863	5681190.98	7427839.66
O-3097	5681023.85	7427951.23
1-967	5681506.86	7427821.51
O-3134	5681030.57	7427985.19
1-965	5681503.39	7427848.28
1-962	5681496.46	7427900.88
O-3277	5681053.87	7428105.00
O-3303	5681057.29	7428125.12
1-1149	5681141.19	7428133.06
O-3358	5681062.85	7428157.96
1-1153	5681072.38	7428154.93
1-1152	5681091.83	7428148.75
1-1151	5681107.46	7428143.78
1-1150	5681122.42	7428139.02
1-1190	5681142.04	7428145.03
1-1191	5681142.49	7428151.51
1-954	5681469.34	7428048.64
1-1192	5681143.41	7428164.58
1-953	5681466.73	7428062.87
1-1194	5681144.58	7428181.04
1-1195	5681146.61	7428209.86
1-1197	5681146.75	7428211.86
1-949	5681458.08	7428110.30
1-1204	5681115.61	7428219.96
1-1203	5681101.79	7428224.46
1-1202	5681084.19	7428230.19
O-3437	5681075.58	7428233.00
1-1201	5681084.64	7428233.04
1-1200	5681102.13	7428227.07
1-1198	5681129.70	7428217.67
1-1206	5681148.15	7428231.71
1-948	5681453.90	7428135.38
1-947	5681451.71	7428148.48
1-907	5681442.86	7428225.48
1-908	5681440.74	7428238.41
1-1222	5681570.15	7428197.76
1-942	5681438.66	7428226.80
1-943	5681440.76	7428214.20
1-1235	5681153.26	7428304.23
O-3685	5681139.44	7428442.39
O-3689	5681130.59	7428443.46
1-1237	5681154.95	7428328.17
1-941	5681436.50	7428239.74
1-939	5681436.82	7428251.69
1-940	5681434.71	7428250.47
1-1239	5681156.35	7428348.02
1-937	5681455.21	7428262.30
1-936	5681473.45	7428272.82
O-3667	5681220.86	7428432.53
O-3681	5681162.81	7428439.56
1-1263	5681647.58	7428400.10
1-931	5681515.22	7428420.99
O-3724	5681360.67	7428470.70
1-1277	5683154.07	7428616.09
1-1279	5683118.44	7428598.97
1-1306	5682785.30	7428568.03
1-1318	5682788.05	7428586.21
1-1317	5682787.37	7428581.67
1-1339	5682797.31	7428647.38
1-10012	5683320.34	7428698.03
