[numer]	[x]	[y]
O-224	5686012.66	7424611.38
O-221	5686012.97	7424608.87
19-2296	5685979.25	7424587.41
19-2313	5685915.81	7424798.03
19-1877	5685978.03	7424811.96
O-297	5685995.82	7424815.94
O-295	5685991.75	7424804.56
O-293	5685978.46	7424788.81
19-2311	5685923.51	7424772.42
19-2312	5685916.88	7424791.53
19-2321	5685938.84	7424912.48
19-1889	5685975.53	7424911.57
19-1890	5685973.78	7424907.27
19-2320	5685938.75	7424907.59
19-2322	5685938.90	7424915.68
19-1887	5685976.15	7424914.45
O-285	5685974.84	7424767.93
O-283	5685976.98	7424761.19
O-282	5685984.19	7424746.51
19-2308	5685936.24	7424735.41
19-2303	5685949.08	7424663.33
19-2304	5685942.99	7424679.88
19-2300	5685969.14	7424628.34
19-1863	5685998.32	7424636.15
19-2298	5685977.41	7424604.55
19-2299	5685971.43	7424620.95
O-260	5686003.66	7424668.06
19-2301	5685965.21	7424641.06
19-1756	5686421.41	7424224.17
19-1755	5686439.81	7424065.59
19-192	5686441.05	7424054.89
19-187	5686438.54	7424045.09
19-1753	5686436.93	7424055.22
19-1754	5686410.74	7424220.15
19-186	5686437.40	7424040.65
19-185	5686435.57	7424036.31
19-184	5686430.99	7424025.46
19-1749	5686429.58	7424031.12
19-1750	5686384.91	7424210.44
19-1539	5686177.01	7424131.93
19-1538	5686275.54	7423811.95
19-158	5686275.78	7423811.16
19-157	5686253.28	7423799.04
19-1526	5686252.36	7423801.95
19-1540	5686176.52	7424133.51
19-2424	5686056.76	7424089.89
19-2426	5686057.86	7424061.25
19-2427	5686057.96	7424057.75
19-1745	5686051.06	7424078.03
19-1507	5685816.22	7423877.01
19-1459	5685854.34	7423769.99
19-1460	5685844.82	7423756.10
19-1463	5685803.13	7423872.03
19-1537	5685843.14	7423887.26
19-1536	5685868.29	7423896.84
19-1456	5685885.59	7423847.27
19-1457	5685873.31	7423797.67
19-1525	5685842.30	7423886.94
19-2174	5685617.85	7423807.91
19-2173	5685722.17	7423523.76
19-119	5685726.56	7423511.81
19-2159	5685566.31	7423789.82
19-274	5685650.18	7423493.85
19-2156	5685641.60	7423518.20
19-2327	5685929.70	7424891.71
19-1902	5685898.71	7424894.37
19-1906	5685899.94	7424907.98
19-1905	5685900.51	7424914.33
O-362	5685340.05	7424985.61
19-1907	5685887.75	7424909.67
19-1903	5685884.90	7424895.55
19-1003	5685561.47	7424925.66
O-331	5685355.36	7424944.85
O-307	5685385.65	7424864.12
19-1900	5685565.31	7424865.13
19-534	5685566.95	7424839.29
O-301	5685396.20	7424835.21
O-311	5685380.92	7424876.79
19-1899	5685564.60	7424876.32
19-1811	5686137.20	7424347.79
19-1809	5686146.93	7424326.96
19-2283	5686052.61	7424299.89
19-1812	5686038.05	7424330.55
19-1744	5686014.84	7424074.62
19-2428	5686058.98	7424022.29
19-2432	5686057.39	7423987.91
19-2433	5686050.73	7423966.26
19-1743	5686018.74	7424062.85
