19-249	5686163.63	7423729.79	0.00	19-96	5686178.76	7423747.88	0.00
19-743	5686175.34	7423759.86	0.00	19-96	5686178.76	7423747.88	0.00
19-95	5686186.03	7423756.58	0.00	19-96	5686178.76	7423747.88	0.00
19-95	5686186.03	7423756.58	0.00	19-94	5686196.58	7423769.19	0.00
19-255	5686203.62	7423777.61	0.00	19-94	5686196.58	7423769.19	0.00
19-94	5686196.58	7423769.19	0.00	19-741	5686193.04	7423779.71	0.00
19-95	5686186.03	7423756.58	0.00	19-742	5686179.59	7423779.58	0.00
19-743	5686175.34	7423759.86	0.00	19-730	5686147.57	7423857.08	0.00
19-742	5686179.59	7423779.58	0.00	19-734	5686157.36	7423858.65	0.10
19-741	5686193.04	7423779.71	0.00	19-732	5686165.81	7423860.71	0.00
19-738	5686108.43	7424069.37	0.10	19-733	5686178.07	7423863.15	0.00
19-732	5686165.81	7423860.71	0.00	19-733	5686178.07	7423863.15	0.00
19-739	5686096.32	7424065.75	0.10	19-735	5686161.59	7423859.44	0.10
19-734	5686157.35	7423858.65	0.10	19-735	5686161.59	7423859.44	0.10
19-731	5686153.06	7423858.18	0.00	19-740	5686084.25	7424062.16	0.00
19-730	5686147.57	7423857.08	0.00	19-731	5686153.06	7423858.18	0.00
19-740	5686084.25	7424062.16	0.00	19-739	5686096.33	7424065.75	0.10
19-739	5686096.32	7424065.75	0.10	19-738	5686108.43	7424069.37	0.10
19-444	5686104.52	7424079.63	0.00	19-737	5686096.16	7424104.24	0.00
19-445	5686083.30	7424064.32	0.00	19-736	5686072.68	7424095.69	0.00
19-619	5686059.68	7424090.95	0.00	19-736	5686072.68	7424095.69	0.00
19-2270	5686060.80	7424061.81	0.00	19-619	5686059.68	7424090.95	0.00
19-619	5686059.68	7424090.95	0.00	19-34	5686058.74	7424115.33	0.00
19-737	5686096.16	7424104.24	0.00	19-736	5686072.68	7424095.69	0.00
19-444	5686104.52	7424079.63	0.00	19-738	5686108.43	7424069.37	0.10
19-445	5686083.30	7424064.32	0.00	19-740	5686084.25	7424062.16	0.00
19-708	5685780.04	7424945.02	0.00	19-713	5685781.33	7424951.30	0.00
19-704	5685778.81	7424939.04	0.00	19-708	5685780.04	7424945.02	0.00
19-705	5685815.90	7424933.18	0.00	19-704	5685778.81	7424939.04	0.00
19-710	5685817.09	7424938.72	0.00	19-708	5685780.04	7424945.02	0.00
O-344	5685782.43	7424956.71	0.00	O-343	5685806.84	7424951.91	0.00
O-343	5685806.84	7424951.91	0.00	O-342	5685819.82	7424951.40	0.00
19-1953	5685819.61	7424950.44	0.00	O-342	5685819.82	7424951.40	0.00
19-710	5685817.09	7424938.72	0.00	19-714	5685818.35	7424944.58	0.00
19-710	5685817.09	7424938.72	0.00	19-705	5685815.90	7424933.18	0.00
19-713	5685781.33	7424951.30	0.00	19-714	5685818.35	7424944.58	0.00
19-704	5685778.81	7424939.04	0.00	19-703	5685729.37	7424946.87	0.00
19-703	5685729.37	7424946.87	0.00	19-702	5685684.88	7424953.90	0.00
19-702	5685684.88	7424953.90	0.00	19-693	5685652.28	7424959.06	0.00
19-693	5685652.28	7424959.06	0.00	19-692	5685561.63	7424973.47	0.00
19-694	5685563.36	7424981.92	0.00	19-695	5685653.79	7424966.49	0.00
19-696	5685565.32	7424991.44	0.00	19-697	5685655.46	7424974.69	0.00
O-358	5685656.82	7424981.40	0.00	19-697	5685655.46	7424974.69	0.00
O-358	5685656.82	7424981.40	0.00	O-360	5685642.51	7424984.21	0.00
O-265	5685568.41	7424999.94	0.00	O-360	5685642.51	7424984.21	0.00
O-354	5685689.20	7424975.03	0.00	O-358	5685656.82	7424981.40	0.00
19-711	5685687.89	7424968.67	0.00	19-697	5685655.46	7424974.69	0.00
19-706	5685686.31	7424960.96	0.00	19-695	5685653.79	7424966.49	0.00
19-697	5685655.46	7424974.69	0.00	19-695	5685653.79	7424966.49	0.00
19-695	5685653.79	7424966.49	0.00	19-693	5685652.28	7424959.06	0.00
19-706	5685686.31	7424960.96	0.00	19-702	5685684.88	7424953.90	0.00
19-707	5685730.71	7424953.41	0.00	19-706	5685686.31	7424960.96	0.00
19-711	5685687.89	7424968.67	0.00	19-706	5685686.31	7424960.96	0.00
19-712	5685732.15	7424960.44	0.00	19-711	5685687.89	7424968.67	0.00
O-354	5685689.20	7424975.03	0.00	19-711	5685687.89	7424968.67	0.00
O-349	5685733.37	7424966.35	0.00	O-354	5685689.20	7424975.03	0.00
19-708	5685780.04	7424945.02	0.00	19-707	5685730.71	7424953.41	0.00
19-707	5685730.71	7424953.41	0.00	19-703	5685729.37	7424946.87	0.00
19-712	5685732.15	7424960.44	0.00	19-707	5685730.71	7424953.41	0.00
O-394	5685315.10	7425052.04	0.00	O-7196	5685395.06	7425035.78	0.00
O-394	5685315.10	7425052.04	0.00	O-385	5685320.80	7425036.87	0.00
O-394	5685315.10	7425052.04	0.00	BRAK	5685280.60	7425059.05	-
O-380	5685326.32	7425022.18	0.00	O-385	5685320.80	7425036.87	0.00
19-1946	5685392.55	7425023.56	0.00	O-385	5685320.80	7425036.87	0.00
19-1947	5685390.05	7425011.37	0.00	O-380	5685326.32	7425022.18	0.00
19-1938	5685387.90	7425000.93	0.00	O-371	5685330.92	7425009.91	0.00
O-371	5685330.92	7425009.91	0.00	O-380	5685326.32	7425022.18	0.00
O-371	5685330.92	7425009.91	0.00	O-365	5685335.25	7424998.40	0.00
O-365	5685335.25	7424998.40	0.00	O-362	5685340.05	7424985.61	0.00
19-1907	5685887.75	7424909.67	0.00	O-362	5685340.05	7424985.61	0.00
O-362	5685340.05	7424985.61	0.00	O-331	5685355.36	7424944.85	0.00
19-1003	5685561.47	7424925.66	0.00	O-331	5685355.36	7424944.85	0.00
O-331	5685355.36	7424944.85	0.00	O-322	5685365.80	7424917.05	0.00
O-322	5685365.80	7424917.05	0.00	19-1898	5685562.72	7424906.02	0.00
O-322	5685365.80	7424917.05	0.00	O-311	5685380.92	7424876.79	0.00
19-1899	5685564.60	7424876.32	0.00	O-311	5685380.92	7424876.79	0.00
O-307	5685385.65	7424864.12	0.00	19-1900	5685565.31	7424865.13	0.00
O-307	5685385.65	7424864.12	0.00	O-311	5685380.92	7424876.79	0.00
O-307	5685385.65	7424864.12	0.00	O-301	5685396.20	7424835.21	0.00
19-534	5685566.95	7424839.29	0.00	O-301	5685396.20	7424835.21	0.00
O-301	5685396.20	7424835.21	0.00	O-287	5685419.07	7424772.50	0.00
O-287	5685419.07	7424772.50	0.00	19-1873	5685594.79	7424804.46	0.00
O-275	5685438.72	7424718.61	0.00	O-287	5685419.07	7424772.50	0.00
19-771	5685907.79	7424824.26	0.00	19-770	5685909.33	7424828.97	0.00
19-769	5685901.12	7424823.75	0.00	19-770	5685909.33	7424828.97	0.00
19-771	5685907.79	7424824.26	0.00	19-769	5685901.12	7424823.75	0.00
19-408	5685887.48	7424822.72	0.00	19-769	5685901.12	7424823.75	0.00
19-651	5686004.93	7424397.54	0.00	19-1172	5686007.39	7424386.70	0.00
19-651	5686004.93	7424397.54	0.00	19-1175	5685938.16	7424373.34	0.00
19-651	5686004.93	7424397.54	0.00	19-1107	5685999.58	7424421.14	0.00
19-1107	5685999.58	7424421.14	0.00	19-1109	5685996.95	7424430.07	0.00
19-652	5685991.23	7424449.51	0.00	19-1109	5685996.95	7424430.07	0.00
19-652	5685991.23	7424449.51	0.00	19-653	5685990.70	7424451.31	0.00
19-1110	5685931.63	7424427.89	0.00	19-652	5685991.23	7424449.51	0.00
19-1108	5685938.58	7424408.91	0.00	19-1109	5685996.95	7424430.07	0.00
19-660	5685928.57	7424369.86	0.00	19-1175	5685938.16	7424373.34	0.00
19-1176	5685945.50	7424353.05	0.00	19-1175	5685938.16	7424373.34	0.00
19-660	5685928.57	7424369.86	0.00	19-656	5685871.37	7424349.13	0.00
19-744	5685960.92	7424530.94	0.00	19-1002	5685960.56	7424529.20	0.00
19-745	5685966.50	7424555.57	0.00	19-744	5685960.92	7424530.94	0.00
19-744	5685960.92	7424530.94	0.00	19-752	5685891.86	7424506.50	0.00
19-751	5685884.75	7424526.69	0.00	19-752	5685891.86	7424506.50	0.00
19-747	5685562.37	7424389.77	0.00	19-752	5685891.86	7424506.50	0.00
19-751	5685884.75	7424526.69	0.00	19-753	5685883.23	7424531.03	0.00
19-439	5685967.93	7424565.08	0.00	19-754	5685967.11	7424558.29	0.00
19-753	5685883.23	7424531.03	0.00	19-754	5685967.11	7424558.29	0.00
19-745	5685966.50	7424555.57	0.00	19-754	5685967.11	7424558.29	0.00
19-751	5685884.75	7424526.69	0.00	19-745	5685966.50	7424555.57	0.00
19-748	5685974.26	7424587.72	0.00	19-439	5685967.93	7424565.08	0.00
19-749	5685971.13	7424601.83	0.00	19-748	5685974.26	7424587.72	0.00
19-438	5685970.21	7424601.50	0.00	19-750	5685540.91	7424448.47	0.00
19-751	5685884.75	7424526.69	0.00	19-746	5685554.91	7424410.15	0.00
19-437	5685970.43	7424604.99	0.00	19-749	5685971.13	7424601.83	0.00
19-749	5685971.13	7424601.83	0.00	19-438	5685970.21	7424601.50	0.00
19-949	5685954.27	7424651.61	0.00	19-676	5685954.89	7424650.40	0.00
19-662	5685953.11	7424652.77	0.00	19-949	5685954.27	7424651.61	0.00
19-663	5685944.44	7424661.47	0.00	19-662	5685953.11	7424652.77	0.00
19-662	5685953.11	7424652.77	0.00	19-670	5685860.47	7424619.63	0.00
19-678	5685902.05	7424603.90	0.00	19-679	5685862.93	7424590.15	0.00
19-665	5685855.80	7424617.96	0.00	19-679	5685862.93	7424590.15	0.00
19-665	5685855.80	7424617.96	0.00	19-670	5685860.47	7424619.63	0.00
19-665	5685855.80	7424617.96	0.00	19-3	5685814.57	7424603.21	0.00
19-1077	5685825.74	7424576.52	0.00	19-679	5685862.93	7424590.15	0.00
19-675	5685532.91	7424471.29	0.00	19-1077	5685825.74	7424576.52	0.00
19-2	5685816.26	7424599.69	0.00	19-1077	5685825.74	7424576.52	0.00
19-2	5685816.26	7424599.69	0.00	19-3	5685814.57	7424603.21	0.00
19-674	5685803.02	7424599.08	0.00	19-3	5685814.57	7424603.21	0.00
19-4	5685570.56	7424510.54	0.00	19-2	5685816.26	7424599.69	0.00
19-674	5685803.02	7424599.08	0.00	19-673	5685794.15	7424623.61	0.00
19-674	5685803.02	7424599.08	0.00	19-1184	5685793.12	7424595.54	0.00
19-1283	5685699.04	7424561.88	0.00	19-1184	5685793.12	7424595.54	0.00
19-1182	5685784.22	7424619.84	0.00	19-1184	5685793.12	7424595.54	0.00
19-1182	5685784.22	7424619.84	0.00	19-673	5685794.15	7424623.61	0.00
19-1182	5685784.22	7424619.84	0.00	19-1183	5685784.16	7424619.99	0.00
19-1182	5685784.22	7424619.84	0.00	19-1284	5685691.27	7424583.65	0.00
19-1183	5685784.16	7424619.99	0.00	19-1181	5685743.18	7424605.16	0.00
19-1180	5685742.47	7424607.15	0.00	19-1181	5685743.18	7424605.16	0.00
19-1181	5685743.18	7424605.16	0.00	19-1178	5685738.48	7424603.45	0.00
19-527	5685738.05	7424605.55	0.00	19-1180	5685742.47	7424607.15	0.00
19-527	5685738.05	7424605.55	0.00	19-1178	5685738.48	7424603.45	0.00
19-1285	5685690.72	7424585.20	0.00	19-1178	5685738.48	7424603.45	0.00
19-1822	5685632.76	7424567.36	0.00	19-527	5685738.05	7424605.55	0.00
19-526	5685689.23	7424632.33	0.00	19-527	5685738.05	7424605.55	0.00
19-521	5685840.92	7424642.86	0.00	19-1180	5685742.47	7424607.15	0.00
19-529	5685839.62	7424646.44	0.00	19-521	5685840.92	7424642.86	0.00
19-671	5685850.77	7424646.43	0.00	19-521	5685840.92	7424642.86	0.00
19-529	5685839.62	7424646.44	0.00	19-520	5685825.72	7424684.83	0.00
19-523	5685800.60	7424632.31	0.00	19-522	5685786.77	7424670.51	0.00
19-520	5685825.72	7424684.83	0.00	19-522	5685786.77	7424670.51	0.00
19-524	5685747.90	7424656.23	0.00	19-522	5685786.77	7424670.51	0.00
19-362	5685695.30	7424636.88	0.00	19-524	5685747.90	7424656.23	0.00
19-524	5685747.90	7424656.23	0.00	19-525	5685761.38	7424618.11	0.00
19-518	5685866.34	7424699.77	0.00	19-520	5685825.72	7424684.83	0.00
19-519	5685877.52	7424656.13	0.00	19-671	5685850.77	7424646.43	0.00
19-669	5685855.39	7424633.64	0.00	19-671	5685850.77	7424646.43	0.00
19-669	5685855.39	7424633.64	0.00	19-670	5685860.47	7424619.63	0.00
19-519	5685877.52	7424656.13	0.00	19-518	5685866.34	7424699.77	0.00
19-519	5685877.52	7424656.13	0.00	19-517	5685938.29	7424678.17	0.00
19-514	5685934.32	7424724.76	0.00	19-518	5685866.34	7424699.77	0.00
19-663	5685944.44	7424661.47	0.00	19-668	5685942.97	7424665.24	0.00
19-517	5685938.29	7424678.17	0.00	19-668	5685942.97	7424665.24	0.00
19-516	5685939.50	7424700.70	0.00	19-517	5685938.29	7424678.17	0.00
19-515	5685936.62	7424717.30	0.00	19-516	5685939.50	7424700.70	0.00
19-514	5685934.32	7424724.76	0.00	19-515	5685936.62	7424717.30	0.00
19-2332	5685931.37	7424734.29	0.00	19-514	5685934.32	7424724.76	0.00
19-571	5685923.59	7424757.11	0.00	19-2332	5685931.37	7424734.29	0.00
19-571	5685923.59	7424757.11	0.00	19-436	5685922.61	7424756.75	0.00
19-575	5685830.75	7424723.30	0.00	19-436	5685922.61	7424756.75	0.00
19-435	5685921.59	7424762.96	0.00	19-571	5685923.59	7424757.11	0.00
19-808	5685918.83	7424770.92	0.00	19-435	5685921.59	7424762.96	0.00
19-808	5685918.83	7424770.92	0.00	19-800	5685845.23	7424743.49	0.00
19-807	5685910.92	7424796.93	0.00	19-799	5685840.73	7424781.00	0.00
19-805	5685911.96	7424790.72	0.00	19-808	5685918.83	7424770.92	0.00
19-807	5685910.92	7424796.93	0.00	19-805	5685911.96	7424790.72	0.00
19-807	5685910.92	7424796.93	0.00	19-2331	5685909.31	7424806.71	0.00
19-705	5685815.90	7424933.18	0.00	19-726	5685890.13	7424921.43	0.00
19-710	5685817.09	7424938.72	0.00	19-725	5685891.08	7424926.14	0.00
19-724	5685892.01	7424930.74	0.00	19-714	5685818.35	7424944.58	0.00
19-1953	5685819.61	7424950.44	0.00	19-714	5685818.35	7424944.58	0.00
O-340	5685895.67	7424948.88	0.00	O-342	5685819.82	7424951.40	0.00
19-771	5685907.79	7424824.26	0.00	19-948	5685906.88	7424821.47	0.00
19-1338	5685728.99	7423939.85	0.00	19-1385	5685719.66	7423967.62	0.00
19-1385	5685719.66	7423967.62	0.00	19-28	5685711.98	7423989.74	0.00
19-1384	5685699.30	7424023.35	0.00	19-28	5685711.98	7423989.74	0.00
19-1384	5685699.30	7424023.35	0.00	19-1383	5685698.20	7424025.55	0.00
